Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,127,129,5400.00%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,520,519,0.00%
Vauxhall Finance plc,VAUXHALL FINANCE PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,842,837,23300.00%
Virgin Media Mobile Finance Limited,LIBERTY GLOBAL PLC,,Half Yearly,2021-07-01 to 2021-12-31,,"6,350","6,778","4,644"
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,Half Yearly,2021-07-01 to 2021-12-31,,2,4,100.00%
Vodafone Limited,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,908,731,49800.00%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"12,181","12,459","8,378"
Wescot Credit Services Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,2021-07-01 to 2021-12-31,,"1,432","1,461",74300.00%
Xbridge Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,30,25,600.00%
Zopa Bank Limited,NO GROUP,yes,Half Yearly,2021-07-01 to 2021-12-31,,"1,136","1,099",46800.00%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,119,139,56.8%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,01-09-2020 to 28-02-2021,,14,14,14.3%
Advanced Payment Solutions Limited,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,205,205,26.3%
Ageas Insurance Limited,AGEAS SA-NV,no,Half Yearly,01-01-2021 to 30-06-2021,,1,1,100.0%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,01-01-2021 to 30-06-2021,,175,193,39.4%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,Half Yearly,01-01-2021 to 30-06-2021,,40,38,39.5%
